ids,labels,parents
great-lakes,great-lakes,
south-atlantic,south-atlantic,
midwest,midwest,
south,south,
mid-atlantic,mid-atlantic,
pacific,pacific,
new-england,new-england,
southwest,southwest,
northwest,northwest,
mountain,mountain,
IN - great-lakes,IN,great-lakes
FL - south-atlantic,FL,south-atlantic
MO - midwest,MO,midwest
IA - midwest,IA,midwest
KY - south,KY,south
PA - mid-atlantic,PA,mid-atlantic
CA - pacific,CA,pacific
ME - new-england,ME,new-england
OK - southwest,OK,southwest
AK - northwest,AK,northwest
MI - great-lakes,MI,great-lakes
AZ - southwest,AZ,southwest
VA - south-atlantic,VA,south-atlantic
TX - southwest,TX,southwest
CO - mountain,CO,mountain
OR - northwest,OR,northwest
MN - midwest,MN,midwest
TN - south,TN,south
MT - mountain,MT,mountain
WA - northwest,WA,northwest
MA - new-england,MA,new-england
NY - mid-atlantic,NY,mid-atlantic
NJ - mid-atlantic,NJ,mid-atlantic
NC - south-atlantic,NC,south-atlantic
WI - great-lakes,WI,great-lakes
SC - south-atlantic,SC,south-atlantic
OH - great-lakes,OH,great-lakes
GA - south-atlantic,GA,south-atlantic
DE - mid-atlantic,DE,mid-atlantic
AL - south,AL,south
UT - mountain,UT,mountain
VT - new-england,VT,new-england
IL - great-lakes,IL,great-lakes
LA - south,LA,south
NM - southwest,NM,southwest
AR - south,AR,south
WY - mountain,WY,mountain
CT - new-england,CT,new-england
MS - south,MS,south
MD - mid-atlantic,MD,mid-atlantic
RI - new-england,RI,new-england
Gary - IN - great-lakes,Gary,IN - great-lakes
Munster - IN - great-lakes,Munster,IN - great-lakes
Dania Beach - FL - south-atlantic,Dania Beach,FL - south-atlantic
St. Louis - MO - midwest,St. Louis,MO - midwest
Clive - IA - midwest,Clive,IA - midwest
Louisville - KY - south,Louisville,KY - south
Mount View - PA - mid-atlantic,Mount View,PA - mid-atlantic
San Diego - CA - pacific,San Diego,CA - pacific
Portland - ME - new-england,Portland,ME - new-england
Kengle - OK - southwest,Kengle,OK - southwest
Anchorage - AK - northwest,Anchorage,AK - northwest
Tampa - FL - south-atlantic,Tampa,FL - south-atlantic
Watervliet - MI - great-lakes,Watervliet,MI - great-lakes
Gilbert - AZ - southwest,Gilbert,AZ - southwest
Herndon - VA - south-atlantic,Herndon,VA - south-atlantic
Austin - TX - southwest,Austin,TX - southwest
Boulder - CO - mountain,Boulder,CO - mountain
Baker City - OR - northwest,Baker City,OR - northwest
New Brighton - MN - midwest,New Brighton,MN - midwest
Saint Paul - MN - midwest,Saint Paul,MN - midwest
Nashville-Davidson - TN - south,Nashville-Davidson,TN - south
Kalamazoo - MI - great-lakes,Kalamazoo,MI - great-lakes
Duluth - MN - midwest,Duluth,MN - midwest
Missoula - MT - mountain,Missoula,MT - mountain
Redmond - WA - northwest,Redmond,WA - northwest
Maryville - TN - south,Maryville,TN - south
Corvallis - OR - northwest,Corvallis,OR - northwest
Avon - VA - south-atlantic,Avon,VA - south-atlantic
Bend - OR - northwest,Bend,OR - northwest
Boston - MA - new-england,Boston,MA - new-england
Anaheim - CA - pacific,Anaheim,CA - pacific
Kansas City - MO - midwest,Kansas City,MO - midwest
Houston - TX - southwest,Houston,TX - southwest
Covington - KY - south,Covington,KY - south
Braddock - PA - mid-atlantic,Braddock,PA - mid-atlantic
Gold Hill - CO - mountain,Gold Hill,CO - mountain
Denver - CO - mountain,Denver,CO - mountain
Williamsport - PA - mid-atlantic,Williamsport,PA - mid-atlantic
Oklahoma City - OK - southwest,Oklahoma City,OK - southwest
Ashland - OR - northwest,Ashland,OR - northwest
Bee Ridge - FL - south-atlantic,Bee Ridge,FL - south-atlantic
Town of Greenburgh - NY - mid-atlantic,Town of Greenburgh,NY - mid-atlantic
Atlantic Highlands - NJ - mid-atlantic,Atlantic Highlands,NJ - mid-atlantic
Oxnard - CA - pacific,Oxnard,CA - pacific
Raleigh Hills - OR - northwest,Raleigh Hills,OR - northwest
Glenwood Springs - CO - mountain,Glenwood Springs,CO - mountain
Reba - NC - south-atlantic,Reba,NC - south-atlantic
San Francisco - CA - pacific,San Francisco,CA - pacific
Amherst - WI - great-lakes,Amherst,WI - great-lakes
Charleston - SC - south-atlantic,Charleston,SC - south-atlantic
Jupiter - FL - south-atlantic,Jupiter,FL - south-atlantic
Columbus - OH - great-lakes,Columbus,OH - great-lakes
Dallas - TX - southwest,Dallas,TX - southwest
Sullivan - CO - mountain,Sullivan,CO - mountain
Lexington - KY - south,Lexington,KY - south
Athens-Clarke County - GA - south-atlantic,Athens-Clarke County,GA - south-atlantic
Saint Petersburg - FL - south-atlantic,Saint Petersburg,FL - south-atlantic
Marshall - MI - great-lakes,Marshall,MI - great-lakes
Perham - MN - midwest,Perham,MN - midwest
Milton - DE - mid-atlantic,Milton,DE - mid-atlantic
Hood River - OR - northwest,Hood River,OR - northwest
Tucson - AZ - southwest,Tucson,AZ - southwest
Tuscaloosa - AL - south,Tuscaloosa,AL - south
Aurora - CO - mountain,Aurora,CO - mountain
Salt Lake City - UT - mountain,Salt Lake City,UT - mountain
Middletown - NY - mid-atlantic,Middletown,NY - mid-atlantic
New York City - NY - mid-atlantic,New York City,NY - mid-atlantic
Minneapolis - MN - midwest,Minneapolis,MN - midwest
Middleburg Heights - OH - great-lakes,Middleburg Heights,OH - great-lakes
Shelburne - VT - new-england,Shelburne,VT - new-england
Truckee - CA - pacific,Truckee,CA - pacific
