,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude,City,State
0,Bitches' Bank,234,4.41,18th Street Brewery - Gary Taproom,Russian Imperial Stout,12.00%,great-lakes,41.599057200000004,-87.267179,Gary,IN
1,Marshmallow Handjee,"1,682",4.73,3 Floyds Brewing Co.,Russian Imperial Stout,15.00%,great-lakes,41.5355252,-87.51681140000001,Munster,IN
2,Pear Bear,298,4.36,3 Floyds Brewing Co.,American Wild Ale,7.50%,great-lakes,41.5355252,-87.51681140000001,Munster,IN
3,Barrel Aged Behemoth,474,4.36,3 Floyds Brewing Co.,American Barleywine,12.50%,great-lakes,41.5355252,-87.51681140000001,Munster,IN
4,French Vanilla Militia,35,4.51,3 Floyds Brewing Co.,Russian Imperial Stout,15.00%,great-lakes,41.5355252,-87.51681140000001,Munster,IN
5,Dreadnaught IPA,"6,128",4.4,3 Floyds Brewing Co.,American Imperial IPA,9.50%,great-lakes,41.5355252,-87.51681140000001,Munster,IN
6,Permanent Funeral,"3,013",4.5,3 Floyds Brewing Co.,American Imperial IPA,10.50%,great-lakes,41.5355252,-87.51681140000001,Munster,IN
7,BBADL (Bourbon Barrel Aged Dark Lord Imperial Stout),932,4.56,3 Floyds Brewing Co.,Russian Imperial Stout,15.00%,great-lakes,41.5355252,-87.51681140000001,Munster,IN
8,3 Floyds / The Bruery - Rue D'Floyd,315,4.43,3 Floyds Brewing Co.,American Imperial Porter,14.40%,great-lakes,41.5355252,-87.51681140000001,Munster,IN
9,Chemtrailmix,117,4.71,3 Floyds Brewing Co.,Russian Imperial Stout,15.00%,great-lakes,41.5355252,-87.51681140000001,Munster,IN
10,Zombie Dust,"10,664",4.58,3 Floyds Brewing Co.,American Pale Ale (APA),6.20%,great-lakes,41.5355252,-87.51681140000001,Munster,IN
11,Lumberjack Morning Break - Bourbon Barrel-Aged,18,4.65,3 Sons Brewing Company,American Imperial Stout,13.00%,south-atlantic,26.0572409,-80.14342090000001,Dania Beach,FL
12,Madagascar,874,4.44,4 Hands Brewing Co.,English Sweet / Milk Stout,9.30%,midwest,38.6149554,-90.1975257,St. Louis,MO
13,Volume # 1,215,4.38,4 Hands Brewing Co.,American Imperial Stout,10.50%,midwest,38.6149554,-90.1975257,St. Louis,MO
14,Passé,38,4.5,515 Brewing Company,American Pale Ale (APA),6.00%,midwest,41.6000032,-93.7227568,Clive,IA
15,London Balling,438,4.17,Against The Grain Brewery & Smokehouse,British Barleywine,12.50%,south,38.255489600000004,-85.7440216,Louisville,KY
16,Bo & Luke,971,4.25,Against The Grain Brewery & Smokehouse,Russian Imperial Stout,13.00%,south,38.255489600000004,-85.7440216,Louisville,KY
17,70K,357,4.32,Against The Grain Brewery & Smokehouse,English Sweet / Milk Stout,13.00%,south,38.255489600000004,-85.7440216,Louisville,KY
18,Sunny Side Up (Little Amps! Double Coffee),621,4.37,Al's of Hampden / Pizza Boy Brewing,American Imperial Stout,9.50%,mid-atlantic,40.288472600000006,-76.97140909999999,Mount View,PA
19,Speedway Stout - Kopi Luwak,546,4.37,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.14984840000001,San Diego,CA
20,Speedway Stout - Velvet,118,4.41,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.14984840000001,San Diego,CA
21,Speedway Stout - Hammerhead,413,4.38,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.14984840000001,San Diego,CA
22,Speedway Stout - Bourbon Barrel-Aged,"2,253",4.52,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.14984840000001,San Diego,CA
23,Speedway Stout,"7,096",4.38,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.14984840000001,San Diego,CA
24,Speedway Stout - Vietnamese Coffee,"1,952",4.5,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.14984840000001,San Diego,CA
25,Speedway Stout - Jamaica Blue Mountain Coffee,647,4.44,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.14984840000001,San Diego,CA
26,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,918,4.65,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.14984840000001,San Diego,CA
27,Coolship Red,705,4.48,Allagash Brewing Company,Belgian Fruit Lambic,5.70%,new-england,43.7031477,-70.3176931,Portland,ME
28,Kiwi Herman,290,4.52,Alpine Beer Company,American Wild Ale,7.00%,pacific,32.7157,-117.1611,San Diego,CA
29,Exponential Hoppiness,"1,328",4.42,Alpine Beer Company,American Imperial IPA,11.00%,pacific,32.7157,-117.1611,San Diego,CA
30,Great,724,4.53,Alpine Beer Company,American Barleywine,14.00%,pacific,32.7157,-117.1611,San Diego,CA
31,Bad Boy,582,4.5,Alpine Beer Company,American Imperial IPA,9.00%,pacific,32.7157,-117.1611,San Diego,CA
32,Nelson,"4,186",4.44,Alpine Beer Company,American IPA,7.00%,pacific,32.7157,-117.1611,San Diego,CA
33,Raspbarrel,54,4.49,American Solera,American Wild Ale,ld Ale,southwest,36.1375963,-96.04662090000001,Kengle,OK
34,Bright Black Delight,34,4.29,American Solera,American Wild Ale,5.60%,southwest,36.1375963,-96.04662090000001,Kengle,OK
35,Cranbarrel,35,4.29,American Solera,American Wild Ale,5.60%,southwest,36.1375963,-96.04662090000001,Kengle,OK
36,Foeder Cerise,107,4.27,American Solera,American Wild Ale,6.00%,southwest,36.1375963,-96.04662090000001,Kengle,OK
37,Citra Bitter Monk,"1,053",4.32,Anchorage Brewing Company,Belgian IPA,9.00%,northwest,61.13879300000001,-149.88215449999998,Anchorage,AK
38,A Deal With The Devil,"1,085",4.53,Anchorage Brewing Company,American Barleywine,17.30%,northwest,61.13879300000001,-149.88215449999998,Anchorage,AK
39,More Is More Triple IPA,26,4.45,Anchorage Brewing Company,American Imperial IPA,9.00%,northwest,61.13879300000001,-149.88215449999998,Anchorage,AK
40,Rocky Road,94,4.47,Angry Chair Brewing,American Imperial Stout,11.00%,south-atlantic,28.0051338,-82.4592887,Tampa,FL
